# time/counts D_GPR D_Exp D_Ref
2.640000000000000000e+03 -7.303675145657542167e-01 -6.417338340227126681e-01 -1.158533116432032717e+00
2.760000000000000000e+03 -7.017012142540852704e-01 -6.133645162429768316e-01 -1.131928917040116556e+00
2.880000000000000000e+03 -6.918308408732660730e-01 -6.069938432557800967e-01 -1.122840683076463009e+00
3.000000000000000000e+03 -6.914009340569594597e-01 -5.899854931077288533e-01 -1.122765706617970594e+00
3.120000000000000000e+03 -6.914365147415760804e-01 -5.899538872713209203e-01 -1.122783338416088350e+00
3.240000000000000000e+03 -6.914730939797547604e-01 -5.899233977345825775e-01 -1.122801975910625361e+00
3.360000000000000000e+03 -6.915106330034127557e-01 -5.898940214027931228e-01 -1.122821573305289533e+00
3.480000000000000000e+03 -6.915491460094345122e-01 -5.898656754635132060e-01 -1.122842138729446493e+00
3.600000000000000000e+03 -6.915882584455441684e-01 -5.898387806838016889e-01 -1.122863361608358757e+00
3.720000000000000000e+03 -6.916286966526667968e-01 -5.898125855919447158e-01 -1.122885860898918509e+00
3.840000000000000000e+03 -6.916701400826577029e-01 -5.897876908294492626e-01 -1.122909352950810069e+00
3.960000000000000000e+03 -6.917125649764974682e-01 -5.897639010498825218e-01 -1.122933824264044977e+00
4.080000000000000000e+03 -6.917557955590661889e-01 -5.897411482440927388e-01 -1.122959095628668802e+00
4.200000000000000000e+03 -6.917999365048455029e-01 -5.897198515329143964e-01 -1.122985347783101995e+00
4.320000000000000000e+03 -6.918452888056811911e-01 -5.896993464021337283e-01 -1.123012747772319742e+00
4.440000000000000000e+03 -6.918915942879858560e-01 -5.896800454133750424e-01 -1.123041099954495747e+00
4.560000000000000000e+03 -6.919388880748568171e-01 -5.896617559806754949e-01 -1.123070440879020415e+00
4.680000000000000000e+03 -6.919869727426692929e-01 -5.896446811631530505e-01 -1.123100569831163131e+00
4.800000000000000000e+03 -6.920360035685539923e-01 -5.896288914962783956e-01 -1.123131700916507825e+00
4.920000000000000000e+03 -6.920862305823105576e-01 -5.896140781309571199e-01 -1.123163963938788701e+00
5.040000000000000000e+03 -6.921374320595581331e-01 -5.896002946785184884e-01 -1.123197214320650561e+00
5.160000000000000000e+03 -6.921896220861450955e-01 -5.895876967236201027e-01 -1.123231440499080414e+00
5.280000000000000000e+03 -6.922423479733689211e-01 -5.895764280826951698e-01 -1.123266267448135292e+00
5.400000000000000000e+03 -6.922964904718810208e-01 -5.895659968252587868e-01 -1.123302445877048417e+00
5.520000000000000000e+03 -6.923515827705826187e-01 -5.895566907793980960e-01 -1.123339573917417678e+00
5.640000000000000000e+03 -6.924076704543287164e-01 -5.895485852378624658e-01 -1.123377693301318647e+00
5.760000000000000000e+03 -6.924645723113718176e-01 -5.895414844781002861e-01 -1.123416626133253216e+00
5.880000000000000000e+03 -6.925223555357900018e-01 -5.895358690241262467e-01 -1.123456509928895564e+00
6.000000000000000000e+03 -6.925813530216157199e-01 -5.895311181769427034e-01 -1.123497539744115592e+00
6.120000000000000000e+03 -6.926413359147970406e-01 -5.895274005881379065e-01 -1.123539556228672076e+00
6.240000000000000000e+03 -6.927022972744580898e-01 -5.895248123383810546e-01 -1.123582549353820736e+00
6.360000000000000000e+03 -6.927640496107680956e-01 -5.895233906918820876e-01 -1.123626331666886857e+00
6.480000000000000000e+03 -6.928267397362772861e-01 -5.895233570179155835e-01 -1.123671109399153378e+00
6.600000000000000000e+03 -6.928906432676532612e-01 -5.895241285076759929e-01 -1.123717045740520115e+00
6.720000000000000000e+03 -6.929555040245212183e-01 -5.895260310188280561e-01 -1.123763931693431140e+00
6.840000000000000000e+03 -6.930213254580369631e-01 -5.895290190751323323e-01 -1.123811779246982168e+00
6.960000000000000000e+03 -6.930877363432305094e-01 -5.895334317361076160e-01 -1.123860278542198277e+00
7.080000000000000000e+03 -6.931555180827576601e-01 -5.895387647925237617e-01 -1.123910092503491720e+00
7.200000000000000000e+03 -6.932242861194581884e-01 -5.895452212295839711e-01 -1.123960889650465367e+00
