GRASP_Variant V.10.25f    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  sample wet 17.6C10 11A 10mm ap 
Start: 25-May-24  15:36:29   End: 25-May-24  15:51:29 
  
Foreground:  247574 , Loaded: 247540,247573{3} 
Background:  247571 , Loaded: 247542+247571 
Blocked Beam:  247572 , Loaded: 247572 
  
Beam Centre1 [x, y]:  [62.6, 127]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  128    1  256]  :  Numor #247541 
Beam Centre2 [x, y]:  [48.8, 123]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   96    1  256]  :  Numor #0 
Transmissions:  Ts = 0.042127 +/- 0.00011449  Te = 0.97693 +/- 0.001943 
Transmission Numors: Ts:  #247574/ #247542;  ROI:  60   65  120  133 
Transmission Numors: Te:  #247542/ #247570;  ROI:  60   65  120  133 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 cm 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 2 4 
I0 Numor #247541   ROI: 55   70  108  140    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det1 Dist (m): 17.604 
Sample-Det2 Dist (m): 1.407 
Collimation (m): 17.6 
Wavelength: 11.5, Delta Wav: 0.10457 
SAN: 0 (degrees) 
PHI: 0 (degrees) 
Sample Temperature: 273.15 
Total Det Counts: 3830130 
Total Monitor Counts: 1171905 
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:4 
Numor:  247574 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.0211555	467.905	49.0056	0.000932688
0.021696	339.85	58.9404	0.00103493
0.0225889	298.031	8.32243	0.00153994
0.0234267	289.6	9.76861	0.00156152
0.024096	279.666	12.4472	0.00158358
0.0248289	211.223	5.12759	0.0016024
0.0256868	212.525	6.59301	0.00163084
0.02647	178.818	7.05336	0.00164829
0.0273646	151.113	4.40334	0.00167908
0.0281582	147.596	4.51786	0.0017048
0.0290186	129.819	5.25163	0.00173302
0.0299207	120.179	3.96507	0.00176066
0.0306662	107.594	3.46969	0.00178458
0.0315771	96.9504	3.68997	0.00181445
0.0325442	86.5327	3.34826	0.00184724
0.0333072	82.5235	2.70035	0.00187199
0.0342802	72.7357	2.88459	0.00190082
0.0353049	67.5228	2.63872	0.00193606
0.0361014	59.8952	2.17299	0.0019613
0.0371374	53.0996	2.18524	0.00199617
0.038214	49.3489	2.05206	0.00204069
0.0390286	47.7823	1.91694	0.00206693
0.0400227	42.4076	1.89533	0.00209875
0.0411547	37.8376	1.58939	0.00214662
0.0421653	36.5815	1.52336	0.00217727
0.0431806	33.4616	1.79135	0.00221107
0.0442044	31.0483	1.27644	0.00225404
0.0452891	29.3317	1.43541	0.00229076
0.0465071	26.0073	1.18166	0.00233354
0.047538	23.9075	1.21692	0.00237602
0.0487023	21.8292	1.17192	0.00241578
0.0498594	21.9711	1.02782	0.00246387
0.0510489	21.3434	1.064	0.00250448
0.0523413	19.2306	0.932283	0.00256018
0.0535034	17.8517	0.913531	0.00260025
0.0548312	17.3819	0.887329	0.00265137
0.0559563	14.7257	0.816971	0.00268944
0.0572668	15.3034	0.849149	0.00274294
0.0585218	13.7665	0.702639	0.00279798
0.059922	14.7212	0.789071	0.00284718
0.0612759	12.8412	0.656983	0.00290359
0.0626587	12.9464	0.712989	0.00295397
0.0640643	11.1231	0.585395	0.00301331
0.0654949	12.4139	0.669002	0.00306335
0.0669345	10.8204	0.541448	0.00312582
0.068476	11.5242	0.591113	0.00318962
0.0699435	9.64011	0.541678	0.00324407
0.0715822	9.12658	0.563154	0.00331265
0.0730513	8.96521	0.543538	0.0033748
0.074727	8.64113	0.496772	0.00343669
0.0762665	7.90824	0.483873	0.00350012
0.0779983	8.47404	0.453938	0.0035755
0.0796379	7.4305	0.475428	0.00363431
0.0813407	7.01558	0.417353	0.0037083
0.0831876	7.27293	0.431886	0.00378505
0.0848966	7.08276	0.410499	0.00385901
0.0867597	6.54418	0.386594	0.00392919
0.0886397	6.3149	0.390929	0.00400902
0.0904668	6.12	0.410281	0.0040873
0.0924651	5.8797	0.349215	0.00416277
0.0944327	5.62505	0.355056	0.00424728
0.0963633	5.93281	0.363468	0.00432777
0.0984362	5.98702	0.334613	0.00441779
0.100555	5.28239	0.343666	0.00449916
0.10262	5.60465	0.351499	0.0045863
0.104764	6.42867	0.321144	0.00467054
0.107	5.9608	0.302995	0.00476482
0.109287	4.93466	0.292267	0.00486264
0.111527	4.84675	0.309303	0.00494962
0.113771	5.30742	0.290211	0.00504363
0.116207	4.5233	0.265811	0.00514891
