1e-06,3059156.72673958,28228.84085896566,
1.0722672220103232e-06,3058154.5568141714,28607.085175382424,
1.149756995397736e-06,3057079.9628522713,29036.526533045173,
1.2328467394420666e-06,3055927.7109699557,29523.236791426476,
1.3219411484660295e-06,3054692.1890450483,30073.813728209643,
1.417474162926806e-06,3053367.379382896,30695.388448113477,
1.5199110829529345e-06,3051946.829406767,31395.627044078534,
1.6297508346206452e-06,3050423.6202301364,32182.726851243195,
1.747528400007685e-06,3048790.33295777,33065.40818578196,
1.8738174228603854e-06,3047039.012551485,34052.9030289275,
2.009233002565049e-06,3045161.129084588,35154.94263372937,
2.154434690031886e-06,3041729.137261733,35767.221472967605,
2.3101297000831624e-06,3033440.9372431003,34474.42221611416,
2.4770763559917136e-06,3024553.7720336556,33146.02824128198,
2.6560877829466896e-06,3015024.3560829773,31796.46335147691,
2.8480358684358054e-06,3004806.275714162,30446.841940177514,
3.0538555088334195e-06,2993849.7630628147,29127.324257063916,
3.2745491628777332e-06,2982101.4536792333,27880.005602215497,
3.511191734215137e-06,2969504.126613183,26762.059564518502,
3.7649358067924745e-06,2955996.4257153133,25848.2974752069,
4.037017258596561e-06,2941512.5607978087,25231.430718503834,
4.328761281083066e-06,2925981.987198743,25017.544828853566,
4.641588833612788e-06,2909329.0621894463,25314.866857784396,
4.97702356433212e-06,2891472.676551381,26217.265485964257,
5.336699231206321e-06,2872325.859528108,27788.9416214398,
5.72236765935023e-06,2851795.355228223,30058.290005299656,
6.135907273413187e-06,2829781.168416114,33023.53442521563,
6.579332246575695e-06,2797754.227884438,32882.151171831625,
7.054802310718661e-06,2755043.0199182928,29429.52957848847,
7.5646332755463075e-06,2709245.1916037295,26429.104636431595,
8.111308307896893e-06,2660137.681462767,24317.074313478934,
8.697490026177857e-06,2607481.3079840736,23659.96282744705,
9.326033468832225e-06,2551019.6046729363,24937.42400120933,
1.0000000000000028e-05,2490477.570913532,28261.073253468625,
1.0722672220103265e-05,2427762.110629965,31210.821616605615,
1.1497569953977393e-05,2370111.9180057095,26112.89851065987,
1.2328467394420699e-05,2308295.506112139,22670.19199986474,
1.3219411484660334e-05,2242011.793856374,22383.811031165023,
1.4174741629268099e-05,2170937.9418513537,26065.6209696977,
1.519911082952939e-05,2094302.3878875975,27493.232553619142,
1.62975083462065e-05,2011381.4536821763,21851.3381118678,
1.74752840000769e-05,1922468.0539152287,20751.22480711231,
1.8738174228603908e-05,1827129.1297476306,25878.42626184129,
2.0092330025650546e-05,1725996.7981341793,21801.651213111996,
2.1544346900318918e-05,1617895.4218687601,18753.76477236551,
2.310129700083169e-05,1501981.8594451465,24246.698036927646,
2.477076355991721e-05,1368950.003681348,18094.11693533355,
2.6560877829466974e-05,1225234.0031702444,18125.24526483141,
2.8480358684358136e-05,1082359.2438602042,17613.303554364087,
3.0538555088334284e-05,940768.4181860929,15102.431335821178,
3.274549162877743e-05,788671.3119789651,15042.364186567573,
3.511191734215147e-05,625235.4668498815,13012.77020905597,
3.764935806792485e-05,453772.9159038481,10343.068094316975,
4.037017258596573e-05,275892.53408003954,10561.891298258122,
4.328761281083079e-05,146440.1857905557,3777.391576536883,
4.6415888336128014e-05,77483.38631718802,2470.495237704185,
4.9770235643321356e-05,46414.13087816006,1462.9276339392188,
5.336699231206337e-05,16931.143151710523,1292.7525538432026,
5.722367659350247e-05,12057.747111421766,798.7472541996527,
6.135907273413205e-05,6839.369373707595,854.5610145635768,
6.579332246575714e-05,4597.75370677825,490.6381761547251,
7.054802310718681e-05,2499.5969065404483,478.8987312999078,
7.564633275546331e-05,2035.7123699662566,250.99427387109017,
8.111308307896915e-05,1631.6007580220903,232.82457383926106,
8.697490026177882e-05,1290.79026847045,165.32728784096952,
9.326033468832252e-05,925.3503516069342,168.16077860826948,
0.00010000000000000057,764.2486458741432,141.5792993555952,
0.00010722672220103295,691.1944731285763,129.54349325288112,
0.00011497569953977427,583.9638268758345,139.0460331668149,
0.00012328467394420736,415.91546171734024,93.56767039282538,
0.00013219411484660372,283.52965041482247,93.8148062918069,
0.0001417474162926814,235.22130643268352,77.15603107355243,
0.00015199110829529434,201.1984567831938,67.82100688007031,
0.00016297508346206546,178.09676939649754,79.54974533543829,
0.00017475284000076954,158.2514080771397,59.9159761074127,
0.00018738174228603963,136.97187762544087,49.036348737915986,
0.00020092330025650603,114.15453462231362,56.09359016280509,
0.00021544346900318983,89.68417343524828,47.58421780294909,
0.00023101297000831757,63.44358620068022,32.443162744742125,
0.0002477076355991728,35.64876588452014,35.478142491413315,
0.0002656087782946705,35.64936918742856,25.468482561610877,
0.00028480358684358217,35.65001608936221,31.711512818084888,
0.00030538555088334375,35.64987874369658,26.070914186375116,
0.00032745491628777523,35.64944486478561,31.960695468511343,
0.00035111917342151575,19.64086882385285,25.338213207220594,
0.0003764935806792496,0.0,33.95329561810424,
0.00040370172585965853,0.0,27.002070528624415,
0.0004328761281083091,20.399796576321517,26.350156894207842,
0.00046415888336128147,50.243485056408254,35.56424583829901,
0.000497702356433215,29.04465395844286,23.895853558037672,
0.0005336699231206351,6.313842227161553,23.9996196602283,
0.0005722367659350264,0.0,19.87726649592744,
0.0006135907273413223,0.0,22.57931623448871,
0.0006579332246575733,0.0,26.737861479294804,
0.0007054802310718702,0.0,26.737694377895526,
0.0007564633275546352,0.0,19.373581451319662,
0.000811130830789694,0.0,26.738697017622,
0.0008697490026177907,80.21528891902749,46.31231865052412,
0.0009326033468832278,12.316221706100604,23.723490535506752,
0.0010000000000000087,0.0,26.73809542476277,
0.0010722672220103327,26.737727798008287,26.737727798008287,
0.001149756995397746,26.73772779800829,26.737727798008287,
0.0012328467394420771,26.739231789556953,26.739231789556953,
0.001321941148466041,0.0,26.738897554590903,
