      IPTS Basename                                                        Avg_Trans    Std_Trans
     30240 SDS_5mgmL_0M_20C_tof_hq                                          0.821225     0.002801
     30240 SDS_5mgmL_0M_20C_tof_hq_raw                                      0.820460     0.006912
     30240 SDS_5mgmL_0M_20C_tof_lq                                          0.797478     0.005288
     30240 SDS_5mgmL_0M_20C_tof_lq_raw                                      0.799319     0.011564
     30240 SDS_5mgmL_0M_22C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_22CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_22CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_22CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_22CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_22CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_22CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_22CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_22CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_22C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_22C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_22C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_22C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_22C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_22C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_22C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_24C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_24CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_24CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_24CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_24CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_24CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_24CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_24CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_24CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_24C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_24C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_24C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_24C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_24C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_24C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_24C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_26C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_26CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_26CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_26CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_26CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_26CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_26CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_26CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_26CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_26C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_26C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_26C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_26C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_26C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_26C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_26C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_28C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_28CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_28CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_28CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_28CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_28CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_28CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_28CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_28CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_28C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_28C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_28C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_28C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_28C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_28C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_28C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_30C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_30CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_30CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_30CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_30CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_30CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_30CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_30CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_30CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_30C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_30C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_30C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_30C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_30C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_30C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_30C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_32C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_32CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_32CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_32CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_32CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_32CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_32CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_32CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_32CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_32C_bfit_kfit_errwt                                 0.812264     0.008416
